Report,Elapsed Time (s),CPI Rate,Retiring (%),Front-End Bound (%),Bad Speculation (%),Memory Bound (%),Core Bound (%),Average CPU Frequency (GHz)
508_1500_1,71.127,0.372,66.9,2.6,4.2,3.4,23.0,1.496
508_1500_2,71.195,0.372,67.4,2.4,4.2,3.3,22.7,1.497
508_1500_3,71.122,0.372,66.5,2.8,4.3,3.1,23.3,1.496
508_1500_4,71.261,0.372,67.3,2.4,4.2,3.3,22.8,1.496
508_1600_0,66.707,0.372,66.9,2.5,4.2,3.4,23.0,1.595
508_1600_1,66.726,0.372,66.8,2.5,4.2,3.5,23.0,1.595
508_1600_2,67.052,0.374,67.3,2.4,4.1,3.6,22.6,1.595
508_1600_3,66.932,0.373,67.3,2.4,4.2,3.4,22.7,1.595
508_1600_4,66.720,0.372,66.9,2.5,4.2,3.4,23.0,1.596
508_1700_0,62.780,0.372,67.6,2.5,4.2,3.3,22.4,1.695
508_1700_1,62.868,0.372,67.5,2.5,4.1,3.3,22.6,1.695
508_1700_2,62.724,0.372,67.6,2.5,4.1,3.3,22.6,1.695
508_1700_4,63.104,0.374,67.4,2.5,4.1,3.6,22.4,1.695
508_1800_0,59.535,0.373,66.9,2.2,4.1,3.5,23.3,1.795
508_1800_1,59.529,0.373,67.0,2.2,4.1,3.5,23.2,1.796
508_1800_2,59.760,0.375,67.1,2.5,4.1,3.4,22.9,1.795
508_1800_3,59.725,0.375,67.0,2.5,4.0,3.4,23.1,1.795
508_1800_4,59.620,0.374,67.1,2.4,4.1,3.4,22.9,1.795
508_1900_0,56.419,0.373,66.8,2.2,4.0,3.7,23.3,1.894
508_1900_1,56.382,0.373,66.9,2.2,4.0,3.7,23.2,1.894
508_1900_2,55.416,0.367,68.0,2.4,4.1,3.2,22.2,1.895
508_1900_3,55.399,0.367,68.2,2.4,4.3,3.1,21.9,1.895
508_1900_4,55.622,0.368,67.7,2.5,4.1,3.5,22.2,1.895
508_2000_0,53.186,0.370,67.5,2.5,4.1,3.7,22.2,1.995
508_2000_1,53.505,0.372,67.5,2.4,4.1,3.6,22.4,1.994
508_2000_2,53.492,0.372,67.8,2.4,4.0,3.5,22.2,1.994
508_2000_3,53.595,0.373,67.2,2.4,4.1,3.5,22.9,1.995
